Type,Number,Page,Title,Alternate Title 1,Alternate Title 2,Alternate Title 3,Alternate Title 4,Alternate Title 5,Alternate Title 6,Alternate Title 7,Alternate Title 8,Alternate Title 9,Alternate Title 10,Alternate Title 11,Alternate Title 12,Alternate Title 13,Alternate Title 14,Alternate Title 15,Alternate Title 16,Alternate Title 17,Alternate Title 18,Alternate Title 19
Double Jig,1,17,Shandon Bells,Punch For the Ladies,,,,,,,,,,,,,,,,,,
Double Jig,2,17,The Piper's Picnic,,,,,,,,,,,,,,,,,,,
Double Jig,3,17,Hartigan's Fancy,Little Fanny's Fancy,,,,,,,,,,,,,,,,,,
Double Jig,4,17,The Yellow Flail,,,,,,,,,,,,,,,,,,,
Double Jig,5,17,Kitty's Rambles,Dan the Cobbler,Ladies' Triumph,The Rambles of Kitty,,,,,,,,,,,,,,,,
Double Jig,6,18,Doctor O'Neill,,,,,,,,,,,,,,,,,,,
Double Jig,7,18,Denis Delaney,Dennis Delaney,In Sweet Tipperary,Sheelah O'Shannon,,,,,,,,,,,,,,,,
Double Jig,8,18,The Walls of Liscarroll,The Lads on the Mountain,,,,,,,,,,,,,,,,,,
Double Jig,9,18,The Pipe on the Hob,,,,,,,,,,,,,,,,,,,
Double Jig,10,18,Guiry's Favorite,Guiry's Favourite,,,,,,,,,,,,,,,,,,
Double Jig,11,18,Malowney's Wife,,,,,,,,,,,,,,,,,,,
Double Jig,12,19,The Gold Ring,,,,,,,,,,,,,,,,,,,
Double Jig,13,19,The Humors of Bantry,Humours of Bantry,Billy Patterson,The Boys of Bockhill,Fire in the Mountains,,,,,,,,,,,,,,,
Double Jig,14,19,Off to the Hunt,,,,,,,,,,,,,,,,,,,
Double Jig,15,19,The Highway to Dublin,,,,,,,,,,,,,,,,,,,
Double Jig,16,19,When Sick is it Tea You Want?,,,,,,,,,,,,,,,,,,,
Double Jig,17,19,The Eavesdropper,,,,,,,,,,,,,,,,,,,
Double Jig,18,20,Saddle the Pony,,,,,,,,,,,,,,,,,,,
Double Jig,19,20,Humors of Glendart,Humours of Glendart,East at Glendart,Shins Around the Fireside,Tim the Piper,,,,,,,,,,,,,,,
Double Jig,20,20,Have a Drink With Me,,,,,,,,,,,,,,,,,,,
Double Jig,21,20,The Hag With the Money,Cailleach an Airgid,,,,,,,,,,,,,,,,,,
Double Jig,22,20,I Know What You Like,,,,,,,,,,,,,,,,,,,
Double Jig,23,20,The Nightcap,,,,,,,,,,,,,,,,,,,
Double Jig,24,20,The Maid at the Well,The Castle Street Jig,,,,,,,,,,,,,,,,,,
Double Jig,25,21,Sergeant Early's Jig,,,,,,,,,,,,,,,,,,,
Double Jig,26,21,Castle Donovan,,,,,,,,,,,,,,,,,,,
Double Jig,27,21,Jackson's Frieze Coat,,,,,,,,,,,,,,,,,,,
Double Jig,28,21,Contentment is Wealth,,,,,,,,,,,,,,,,,,,
Double Jig,29,21,Cherish the Ladies,,,,,,,,,,,,,,,,,,,
Double Jig,30,22,Welcome to Cork,,,,,,,,,,,,,,,,,,,
Double Jig,31,22,The Widow Brady,,,,,,,,,,,,,,,,,,,
Double Jig,32,22,The Basket of Turf,Bundle and Go,The Unfortunate Rake,"The Wee, Wee Man",,,,,,,,,,,,,,,,
Double Jig,33,22,Do You Want Any More?,,,,,,,,,,,,,,,,,,,
Double Jig,34,22,Galway Tom,Bouchaleen Buie,Come in the Evening,The Welcome,,,,,,,,,,,,,,,,
Double Jig,35,22,Money in Both Pockets,,,,,,,,,,,,,,,,,,,
Double Jig,36,23,Father Dollard's Favorite,Father Dollard's Favourite,,,,,,,,,,,,,,,,,,
Double Jig,37,23,Tell Her I Am,,,,,,,,,,,,,,,,,,,
Double Jig,38,23,The Mountain Boy,,,,,,,,,,,,,,,,,,,
Double Jig,39,23,A Visit to Ireland,,,,,,,,,,,,,,,,,,,
Double Jig,40,23,Jerry's Beaver Hat,,,,,,,,,,,,,,,,,,,
Double Jig,41,23,The Templehouse Jig,,,,,,,,,,,,,,,,,,,
Double Jig,42,23,Move Up to Me,,,,,,,,,,,,,,,,,,,
Double Jig,43,24,Paddy Whack,The Harp That in Darkness,When History's Muse,Whoop! Do Me No Harm,,,,,,,,,,,,,,,,
Double Jig,44,24,Nell Flaherty's Drake,My Name it is Nell,The Widow's Curse,,,,,,,,,,,,,,,,,
Double Jig,45,24,Out With the Boys,Irish Whiskey,,,,,,,,,,,,,,,,,,
Double Jig,46,24,Katie's Fancy,,,,,,,,,,,,,,,,,,,
Double Jig,47,24,Paddy from Portlaw,,,,,,,,,,,,,,,,,,,
Double Jig,48,24,The Miller of Glanmire,,,,,,,,,,,,,,,,,,,
Double Jig,49,25,Hare in the Corn (Number 1),,,,,,,,,,,,,,,,,,,
Double Jig,50,25,Daniel O'Rourke,,,,,,,,,,,,,,,,,,,
Double Jig,51,25,O'Sullivan's March,Glengariff,,,,,,,,,,,,,,,,,,
Double Jig,52,25,Tobin's Favorite,Tobin's Favourite,,,,,,,,,,,,,,,,,,
Double Jig,53,25,Banish Misfortune,,,,,,,,,,,,,,,,,,,
Double Jig,54,25,The Wheels of the World,,,,,,,,,,,,,,,,,,,
Double Jig,55,26,Kitty Come Over,,,,,,,,,,,,,,,,,,,
Double Jig,56,26,The Humors of Cappa,Humours of Cappa,,,,,,,,,,,,,,,,,,
Double Jig,57,26,The Blazing Turf Fire,,,,,,,,,,,,,,,,,,,
Double Jig,58,26,All Covered With Moss,,,,,,,,,,,,,,,,,,,
Double Jig,59,26,The Priest's Leap,The Red Stockings,,,,,,,,,,,,,,,,,,
Double Jig,60,26,The Book of Rights,,,,,,,,,,,,,,,,,,,
Double Jig,61,26,The Humors of Whiskey,Humours of Whiskey,,,,,,,,,,,,,,,,,,
Double Jig,62,27,Fiddler's Heaven,,,,,,,,,,,,,,,,,,,
Double Jig,63,27,A Night at the Fair,,,,,,,,,,,,,,,,,,,
Double Jig,64,27,Darby the Driver,,,,,,,,,,,,,,,,,,,
Double Jig,65,27,John White's Mother,,,,,,,,,,,,,,,,,,,
Double Jig,66,27,The Humors of Tralibane,Humours of Tralibane,,,,,,,,,,,,,,,,,,
Double Jig,67,27,Connie the Soldier,The Cripple With the Crutches,The Humors of Abbeyfeale,The Humours of Abbeyfeale,,,,,,,,,,,,,,,,
Double Jig,68,27,Out on the Ocean,The Banks of Ahasnagh,Crossing the Bogs,,,,,,,,,,,,,,,,,
Double Jig,69,28,Philip O'Neill,,,,,,,,,,,,,,,,,,,
Double Jig,70,28,The Besom in Bloom,,,,,,,,,,,,,,,,,,,
Double Jig,71,28,Courtney's Favorite,Courtney's Favourite,,,,,,,,,,,,,,,,,,
Double Jig,72,28,The Merry Old Woman,The Walls of Enniscorthy,,,,,,,,,,,,,,,,,,
Double Jig,73,28,Con Casey's Jig,,,,,,,,,,,,,,,,,,,
Double Jig,74,28,A Trip to the Cottage,,,,,,,,,,,,,,,,,,,
Double Jig,75,28,Old Man Dillon,The Mug of Brown Ale,One Bottle More,,,,,,,,,,,,,,,,,
Double Jig,76,29,Julia McMahon,,,,,,,,,,,,,,,,,,,
Double Jig,77,29,Drive the Cows Home,,,,,,,,,,,,,,,,,,,
Double Jig,78,29,Happy to Meet and Sorry to Part,,,,,,,,,,,,,,,,,,,
Double Jig,79,29,The Joy of My Life,Donnybrook Fair,,,,,,,,,,,,,,,,,,
Double Jig,80,29,The Grumbling Rustic,You Never Did Hear,,,,,,,,,,,,,,,,,,
Double Jig,81,29,The Humors of Ballycastle,The Humours of Ballycastle,,,,,,,,,,,,,,,,,,
Double Jig,82,29,Doherty's Fancy,The Pet of the Pipers,,,,,,,,,,,,,,,,,,
Double Jig,83,30,The Girls of Banbridge,,,,,,,,,,,,,,,,,,,
Double Jig,84,30,Wellington's Advance,,,,,,,,,,,,,,,,,,,
Double Jig,85,30,The Old Man's Delight, ,,,,,,,,,,,,,,,,,,
Double Jig,86,30,Blackeyed Biddy,,,,,,,,,,,,,,,,,,,
Double Jig,87,30,The Jolly Corkonian,The Hills of Glenorchy,,,,,,,,,,,,,,,,,,
Double Jig,88,30,Willy Walsh's Jig,,,,,,,,,,,,,,,,,,,
Double Jig,89,30,The Boys of the Town,,,,,,,,,,,,,,,,,,,
Double Jig,90,31,Petticoat Loose,,,,,,,,,,,,,,,,,,,
Double Jig,91,31,The Tailor's Thimble,,,,,,,,,,,,,,,,,,,
Double Jig,92,31,The Humors of Ballingarry,Humours of Ballingarry,,,,,,,,,,,,,,,,,,
Double Jig,93,31,Palm Sunday,,,,,,,,,,,,,,,,,,,
Double Jig,94,31,The Road to Lurgan,,,,,,,,,,,,,,,,,,,
Double Jig,95,31,The Sheep on the Mountains,,,,,,,,,,,,,,,,,,,
Double Jig,96,31,Our Own Little Isle,The Corovoth Jig,Oh! Irishmen Never Forget,,,,,,,,,,,,,,,,,
Double Jig,97,32,The Straw Seat,,,,,,,,,,,,,,,,,,,
Double Jig,98,32,The Flaxdresser,,,,,,,,,,,,,,,,,,,
Double Jig,99,32,The Races at Carrick,,,,,,,,,,,,,,,,,,,
Double Jig,100,32,Condon's Frolics,,,,,,,,,,,,,,,,,,,
Double Jig,101,32,The Idle Road,,,,,,,,,,,,,,,,,,,
Double Jig,102,32,Billy Barlow,The Day After the Fair,,,,,,,,,,,,,,,,,,
Double Jig,103,32,A Merry Christmas,,,,,,,,,,,,,,,,,,,
Double Jig,104,33,Will You Come Home With Me?,,,,,,,,,,,,,,,,,,,
Double Jig,105,33,The Gobby O,The Bay of Bantry,Jefferson and Liberty,,,,,,,,,,,,,,,,,
Double Jig,106,33,The Humors of Mullinafauna,Humours of Mullinafauna,,,,,,,,,,,,,,,,,,
Double Jig,107,33,Father O'Carroll,,,,,,,,,,,,,,,,,,,
Double Jig,108,33,The Rakes of Kildare,,,,,,,,,,,,,,,,,,,
Double Jig,109,33,The Tailor's Wedding,Skiver the Quilt,,,,,,,,,,,,,,,,,,
Double Jig,110,33,My Former Wife,,,,,,,,,,,,,,,,,,,
Double Jig,111,34,The Sporting Bachelor,,,,,,,,,,,,,,,,,,,
Double Jig,112,34,The First Night in America,,,,,,,,,,,,,,,,,,,
Double Jig,113,34,The Best in the Bag,,,,,,,,,,,,,,,,,,,
Double Jig,114,34,The Maid of the Green,The Night of Fun,,,,,,,,,,,,,,,,,,
Double Jig,115,34,Stagger the Buck,Priest Avourneen,,,,,,,,,,,,,,,,,,
Double Jig,116,34,Rory O'Moore,Good Omens,I'll Follow You My Dear,,,,,,,,,,,,,,,,,
Double Jig,117,34,The Highlander,,,,,,,,,,,,,,,,,,,
Double Jig,118,35,Lannigan's Ball,At the Side of the Road,When I Was a Young Man,,,,,,,,,,,,,,,,,
